wiki_content,wiki_title
"On February 8, 2010, Chuck Schumer announced that he would recommend Lohier for a seat on the United States Court of Appeals for the Second Circuit that was vacated by Sonia Sotomayor.[2] On March 10, 2010, President Barack Obama nominated Lohier to the seat.[7] On December 19, 2010, Lohier was confirmed by the Senate by a vote of 92–0. He received his judicial commission on December 20, 2010.[4]",Raymond Lohier
"Lohier's wife, Donna Hae Kyun Lee, is Senior Associate Dean of Clinical Programs and a professor at the CUNY School of Law.[8] The couple married in 1999 and live in Brooklyn New York.[9]",Raymond Lohier
"

",Jiivi
"Jiivi (transl. Intelligent) is a 2019 Indian Tamil-language thriller film directed by V. J. Gopinath and written by Babu Tamizh. Jointly produced by M. Vellapandian, Sudalaikan Vellapandian and Subramanian Vellapandian. The film stars Vetri in the lead role, alongside an ensemble cast including Karunakaran, Monica Chinnakotla, Rohini, Ashwini Chandrashekar and Mime Gopi. The soundtrack album and background score was composed by K. S. Sundaramurthy, while art work, production controlling, executive production, line production were handled by Vairabalan, S. Nagarajan, Vivin S. R. and I. B. Karthikeyan, respectively.[1] The film released on 28 June 2019 and was a successful venture.[2][3]",Jiivi
"Saravanan (Vetri) comes to Chennai from a small village in Madurai and works in a juice and tea stall where Mani (Karunakaran) is the ""tea master"".  Though not formally educated, he is quite well-read. Saravanan's lover Anandhi (Monica Chinnakotla) jilts him citing his meagre existence, which pushes him into a depression. He decides to rob his landlady, Sivagami (Rohini) though she treats him as a brother. He then uses the knowledge that he has picked up over the years to plan and execute the crime, and proceeds to frame a neighbour he does not like.
",Jiivi
"After robbing his landlady's jewels, the incidents which happened in Sivagami's life starts to happen in Saravanan's life. He realizes that and do not want his sister to face the difficulties in life like Sivagami did. So, he starts thinking about how to stop this phenomenon and make things right. Meanwhile Kathir, Sivagami's hot headed brother starts suspecting Saravanan.
",Jiivi
"The astounding similarities in his and Kathir's life and thought processes propels Saravanan to investigate the latter's past. He comes to the conclusion that Kathir had also committed a theft in his young age, stealing from Saravanan's ancestors. He seeks to stop fate's triangle from affecting his family. How the events lead to his escape from this never-ending circle forms the conclusion of this story.
",Jiivi
"KS Sundaramurthy composed the songs and background score for the film. Yuvan Shankar Raja bought the audio rights of Jiivi under his banner, U1 Records.[4]The Times of India gave a positive review for the album stating: ""A job well done by Sundaramurthy!"".[5][6][7][8]",Jiivi
"The film released on 28 June 2019, to mostly positive reviews.
",Jiivi
"The Times of India gave 3.5/5 stating that ""Technically, too, the film is as slick as its writing, turning it into one of the memorable thrillers of the year"", The reviewer also added ""Jiivi is definitely one of the interesting lead characters we have seen in Tamil cinema in the last few years"".[9]The Hindu wrote ""A surprisingly well-made thriller, whose individual parts are more terrific than its whole"".[10] Behindwoods rated 3/5 stating ""Neat writing and engaging screenplay makes 'Jiivi' a good thriller. Try not to miss.""[11] Sify.com noted ""Overall, Jiivi  joins the team of  interesting mystery thrillers released this year"".[12]Indiaglitz gave 3/5 and wrote ""But what greets in the theatres is an intelligent little film that culminates to a largely satisfying climax"".[13]Dinamalar rated 3.5/5.[14]Film Companion stated ""It’s a marvellous idea, but this is a film you admire more for what it wants to be than what it is. The fabulous conceit needed equally fabulous filmmaking"".[15]Cinema Express rated 3 out of 5 stars stating ""A competent thriller aided by its strong and flawless writing"".[16]",Jiivi
"Delmenhorst ([ˈdɛlmənˌhɔʁst]) is an urban district (Kreisfreie Stadt) in Lower Saxony, Germany.  It has a population of 74,500 and is located 10 kilometres (6 miles) west of downtown Bremen with which it forms a contiguous urban area, whereas the city of Oldenburg is 25 kilometres (16 miles) to the northwest. The city has a total area of 62.36 square kilometres (24.08 square miles); and a population density of approx. 1200 inhabitants per km².
",Delmenhorst
"Since 2014 the mayor has been Axel Jahnz (SPD).
",Delmenhorst
"Delmenhorst was first mentioned in a charter in 1254, after the Count of Oldenburg, Otto I, bought the place near the river Delme in 1234. A castle to protect the newly founded settlement was established in about 1247. The following count, Otto II, made the castle his residency; Delmenhorst was declared an independent town on 15 July 1371 under Bremen's law.
",Delmenhorst
"After a short period under the governance of the bishop of Bremen from 1421 to 1436 Delmenhorst returned under the custody of Oldenburg. Delmenhorst later was infamous for its robber-baronship under the count Gerhard VI of Oldenburg. Its reign ended in 1482 thanks to a siege laid to the castle under the leadership of the bishop of Münster. Therefore, the town now was under Münster authority until finally count Anton I won back the town as well as the castle in 1547.
",Delmenhorst
"When the last heir of Anton, Christian, died in 1647, Delmenhorst again fell under Oldenburg custody. As Oldenburg belonged to Danish kings and the Oldenburg regent of that time was a relative of the Danish king, Delmenhorst was thereafter under Danish control.
",Delmenhorst
"In 1767 Delmenhorst was bought by Tsarina Catherine II, but was given up to new Oldenburg in 1773. In 1777 Delmenhorst was declared a dukedom of Oldenburg. In 1806 a French and Dutch army occupied the territory; Delmenhorst was a part of the French empire under Napoleon from 1811 to 1813.
",Delmenhorst
"In the industrial age Delmenhorst experienced great economic growth, thanks to Bremen. Since Bremen was in a different duty zone, merchants who wanted to export manufactured goods outside of Bremen had to pay high customs duties. They therefore only exported the resources and produced their commodities in the surrounding villages. The industries arising were the Jute - a spinning works and weavery in 1871, the Delmenhorster Linoleumfabrik - a linoleum factory, in 1882, the Norddeutsche Wollkämmerei und Kammgarnspinnerei or Nordwolle - another, bigger spinning works, and several others. The number of inhabitants quadrupled in these years.
",Delmenhorst
"In 1903 Delmenhorst was declared kreisfrei, meaning it was under its own regentship, not having to obey any other county. In the 1930s Great Depression the Nordwolle went bankrupt - nevertheless the town grew bigger, incorporating several smaller villages around it. On Kristallnacht in November 1938 the synagogue was burnt down by the Nazis, who had come to power in Germany in 1933. After the Second World War, Delmenhorst was in the British zone of occupation and had to deal with thousands of refugees from Eastern Germany, which now was occupied by the Soviet Union. The British-appointed mayor during the British Occupation was Major Jack Wolfe, an inspector of the British Constabulary. In 1950, more than 57,000 people lived in Delmenhorst.
",Delmenhorst
"Since the 1960s there has been a steady decrease in employment, leaving more than 13% of the town's inhabitants unemployed and nearly 7% living on social welfare. In the year 2000 Delmenhorst was an outpost of the Hanover-based Expo 2000.
",Delmenhorst
"The Hanse-Wissenschaftskolleg (HWK) Institute for Advanced Study is located at Delmenhorst, in the neighborhood of Deichhorst. The HWK promotes collaboration between and among international research scientists and artists, many of whom are housed on the HWK grounds. The public is engaged through a public lecture series. The research areas of focus are energy, earth, brain, and society.[2]",Delmenhorst
"The landmark of the town is the water tower complex with the adjacent Town Hall, built from 1910 to 1914 by architect Heinz Stoffregen.
",Delmenhorst
"Another interesting place is the Burginsel (Castle Island), in which the old castle existed in medieval times. The construction was torn down during the 18th century. Today a park (called the Graft) occupies the grounds of the old castle.
",Delmenhorst
"The industrial history of the town is presented by the Nordwolle Museum, an Anchor Point of ERIH, The European Route of Industrial Heritage.[4]",Delmenhorst
Delmenhorst is twinned with:[5],Delmenhorst
"7 Vezes (Portuguese: 7 Times) is the seventh album by Brazilian band O Rappa.[2] The title alludes to the fact that this is the seventh album O Rappa has released. It was produced by Ricardo Vidal, Tom Sabóia and O Rappa. It is distributed through Warner Music.[3]",7 Vezes
"
All tracks are written by Marcos Lobato, Marcelo Falcão, Xandão, Lauro Farias, Marcelo Lobato; unless where noted..",7 Vezes
,7 Vezes
"

This is a list of foreign players in the Malaysia Hockey League, which commenced play in 2005. The following players must meet the following criteria of the rule by the Malaysia Hockey Federation. The player have played at least one League game. Players who were signed by Malaysia Hockey League clubs.
",List of foreign Malaysia Hockey League players
"Malaysia Hockey League
",List of foreign Malaysia Hockey League players
"Vinda may refer to :
",Vinda
"Places and jurisdictions
",Vinda
"Other uses
",Vinda
"Jeffrey Charles Rohrer (born December 25, 1958) is a former American football linebacker in the National Football League for the Dallas Cowboys. He played college football at Yale University and was drafted in the second round of the 1982 NFL Draft.
",Jeff Rohrer
"Rohrer attended Mira Costa High School, where he played football. He was a National Football Foundation and Hall of Fame Scholar-Athlete. In 2014 Rohrer was inducted into Mira Costa's Distinguished Alumni Hall of Fame, in the same group of inductees as musician Jim Lindberg and scientist Lance J. Dixon.[2]",Jeff Rohrer
"He attended Yale University. In 1978, he was a backup defensive end. He did not attend school in 1979.
",Jeff Rohrer
"In 1980, he was moved to inside linebacker and helped his team win the Ivy League championship. He registered 110 tackles (second on the team), 54 solo tackles, 8 tackles for loss, 2 sacks and 2 forced fumbles. He suffered a fractured ankle and missed the last 3 games of the season.
",Jeff Rohrer
"In 1981 as a senior, he posted 136 tackles (school record), 71 solo tackles, 4 tackles for loss, one sack and one interception, while receiving  All-Ivy League and All-New England honors.[3] The team shared the Ivy League championship, tying Dartmouth College with a 9-1 overall record, and was briefly ranked in the nation’s top 20, with three of its players selected in the 1982 NFL Draft.[4]",Jeff Rohrer
"Rohrer was selected by the Dallas Cowboys in the second round (53rd overall) of the 1982 NFL Draft, which at the time was considered a reach by the media.[5] As a rookie, he played in 8 games on the special teams units. The next year in addition to special teams, he played on the short-yardage and goal line defenses.
",Jeff Rohrer
"In 1984, he was the backup at middle linebacker, until being moved to outside linebacker when Billy Cannon Jr. suffered a neck injury. The next year, he replaced Anthony Dickerson as the starting right outside linebacker, posting 54 tackles and 1.5 sacks.
",Jeff Rohrer
"In 1986, he registered 111 tackles (second on the team), 2 sacks, 4 forced fumbles (led the team) and one fumble recovery. In 1987, he was replaced on passing downs, but still managed 74 tackles (third on the team), 4 sacks (led the linebackers) and 2 fumble recoveries. During training camp in 1988, he was hospitalized with a bulging disc in his lower back, which required season ending surgery.[6]",Jeff Rohrer
"In 1989, with the arrival of head coach Jimmy Johnson, he was released before the season started, as part of a youth movement.[7] During his time with the Cowboys, he was considered a tough and outspoken player.[8]",Jeff Rohrer
"Rohrer publicly came out in 2018, when he announced his engagement to his partner of two years, Joshua Ross. On November 18, 2018, he and Ross were married.[9][10] His marriage made him the first NFL player, former or current, to enter into a same-sex marriage.[11] Rohrer was formerly married to Heather Rohrer, with whom he had two children.[12]",Jeff Rohrer
"
",Grazalema
"Grazalema is a village located in the northeastern part of the province of Cádiz, in the autonomous community of Andalusia, Spain.  Situated in the foothills of the Sierra del Pinar mountain range (Sierra de Grazalema Natural Park), Grazalema had, as of 2009, a population of 2,205.
",Grazalema
"The Roman villa of Lacidulia[citation needed] or Lacidulerium,[2] situated in an estate near to the present village, has been traditionally considered the ancestor of Grazalema.
",Grazalema
"During Muslim rule in the 8th century, these lands were populated by people of Berber origin and from them, the area acquired the name of Raisa lami Suli, ""town of the Banu al-Salim"", place which passed to Ben-salama, ""Son of Zulema and later Grand Zulema"". During this period, its economy was organised around forestry, agriculture, farming and textile manufacture.
",Grazalema
"With the Christian conquest in 1485, Zagrazalema, as it was called at the time, became part of the lands of the Rodrigo Ponce de León y Núñez. It became economically important as of the 17th century thanks to the drapery industry which produced the famous shawls of Grazalema. In the first years of the 19th century, during the War of Independence, Grazalema suffered attacks and sieges from the Napoleonic troops who partially destroyed the village.
",Grazalema
"The Song of Hannah is a poem interpreting the prose text of the Books of Samuel. According to the surrounding narrative, the poem (1 Samuel 2:1–10) was a prayer delivered by Hannah, to give thanks to God for the birth of her son, Samuel. It is very similar to Psalm 113[1] and the Magnificat.[2]",Song of Hannah
"Hannah praises Yahweh, reflects on the reversals he accomplishes, and looks forward to his king.
",Song of Hannah
"There is a movement in this song from the particular to the general. It opens with Hannah's own gratitude for a local reversal, and closes with God's defeat of his enemies – a cosmic reversal.[3]",Song of Hannah
"Through the theme of reversal, the Song of Hannah functions as an introduction to the whole book. Keil and Delitzsch argue that Hannah's experience of reversal was a pledge of how God ""would also lift up and glorify his whole nation, which was at that time so deeply bowed down and oppressed by its foes.""[4]",Song of Hannah
"The reference to a king in verse 10 has provoked considerable discussion. Biblical commentator A. F. Kirkpatrick argues that this does not imply a late date for the song, since ""the idea of a king was not altogether novel to the Israelite mind"" and ""amid the prevalent anarchy and growing disintegration of the nation, amid internal corruption and external attack, the desire for a king was probably taking definite shape in the popular mind.""[5]",Song of Hannah
"Walter Brueggemann suggests that the Song of Hannah paves the way for a major theme of the Book of Samuel, the ""power and willingness of Yahweh to intrude, intervene and invert.""[6]",Song of Hannah
"And Hannah prayed and said:
",Song of Hannah
"“My heart rejoices in the Lord;
my strength is exalted in the Lord.
I smile at my enemies,
because I rejoice in Your salvation.
",Song of Hannah
"“No one is holy like the Lord,
for there is none besides You,
nor is there any rock like our God.
",Song of Hannah
"“Talk no more so very proudly;
let no arrogance come from your mouth,
for the Lord is the God of knowledge;
and by Him actions are weighed.
",Song of Hannah
"“The bows of the mighty men are broken,
and those who stumbled are girded with strength.
Those who were full have hired themselves out for bread,
and the hungry have ceased to hunger.
Even the barren has borne seven,
and she who has many children has become feeble.
",Song of Hannah
"“The Lord kills and makes alive;
He brings down to the grave and brings up.
The Lord makes poor and makes rich;
He brings low and lifts up.
He raises the poor from the dust
and lifts the beggar from the ash heap,
to set them among princes
and make them inherit the throne of glory.
",Song of Hannah
"“For the pillars of the earth are the Lord’s,
and He has set the world upon them.
He will guard the feet of His saints,
but the wicked shall be silent in darkness.
",Song of Hannah
"“For by strength no man shall prevail.
The adversaries of the Lord shall be broken in pieces;
from heaven He will thunder against them.
The Lord will judge the ends of the earth.
“He will give strength to His king,
and exalt the strength of His anointed.”
",Song of Hannah
"(1 Samuel 2:1–10 New King James Version)
",Song of Hannah
"The first 10 verses of 1 Samuel 2 record her song of praise to the Lord for answering her petition. The attribution of this song to Hannah distinguishes her among biblical personages. Her song is essentially a hymn of praise to God for good fortune, and includes many themes of Israel’s national culture. Fertility and childbirth are thus included as equal in importance to other motifs and worthy of Israel’s singers.[7]",Song of Hannah
"According to some contributors to the Classical Rabbinical literature, the first half of the poem was a prophecy, predicting Samuel's later role as a prophet, that her great grandson would be a musician in the Jerusalem Temple, that Sennacherib would destroy the Kingdom of Israel, that Nebuchadnezzar would fall from power, and that the Babylonian Captivity would come to an end.[8]",Song of Hannah
"Although the ""king"" of verse 10 is left unspecified, the blessing to the king and to the anointed forms a clear parallel with 2 Samuel 22, which finishes with Yahweh being a tower of salvation to his king, and showing mercy to his anointed (2 Samuel 22:51).
",Song of Hannah
"In Judaism the song of Hannah is regarded as the prime role model for how to pray, and is read on the first day of Rosh Hashanah as the haftarah.
",Song of Hannah
"The poem has several features in common with the Magnificat, which was sung in early Christian circles and continues to be regularly sung or said in many Christian denominations. These common features include the themes, and the order in which they appear. A number of scholars believe that Luke used the song of Hannah for the basis of the Magnificat.[9] Charles Anang and others see Hannah as a ""type"" of Mary.[10] Both ""handmaids"" of God bore sons through divine intervention who were uniquely dedicated to God.[11]",Song of Hannah
"The Song of Hannah is also known as the ""Canticle of Anna"", and is one of seven Old Testament canticles in the Roman Breviary. It is used for Lauds on Wednesdays.[12]",Song of Hannah
"In the Revised Common Lectionary, which provides the appointed Scripture readings used by most mainline Protestant denominations, the song of Hannah is recited or sung as the response to the First Lesson (1 Samuel 1:4–20) for Proper 28 in Year B, for those churches following Track 1.
",Song of Hannah
"

",Daniel Cassidy (footballer)
Daniel Cassidy (15 June 1907 – 1995) was an English footballer who scored 15 goals from 165 appearances in the Football League playing for Darlington. He played at right half or on the right side of the forward line. He was also on the books of Southampton without representing that club in the league.[1],Daniel Cassidy (footballer)
"
Cassidy scored the winning goal in the 1934 Football League Third Division North Cup Final as Darlington came back from a two-goal deficit to beat Stockport County 4–3 at Old Trafford, Manchester. According to the Manchester Guardian's report,.mw-parser-output .templatequote{overflow:hidden;margin:1em 0;padding:0 40px}.mw-parser-output .templatequote .templatequotecite{line-height:1.5em;text-align:left;padding-left:1.6em;margin-top:0}",Daniel Cassidy (footballer)
"A succession of corner-kicks was gained by Darlington, and from one of these Best headed another equalising goal. Then, when the referee had his watch in his hand, Cassidy dribbled through the Stockport defence, and he had no sooner shot the ball into the net than the whistle sounded for the finish of the match.[5]",Daniel Cassidy (footballer)
"His father, also named Daniel Cassidy, was a shipyard labourer born in Derry, Ireland.[4]",Daniel Cassidy (footballer)
,Daniel Cassidy (footballer)
"Shake, Rattle & Roll III is the third installment of the Shake Rattle & Roll franchise. It was distributed by Regal Films. It is directed by Peque Gallaga and Lore Reyes. This film is an entry of the 1991 Metro Manila Film Festival.
","Shake, Rattle & Roll III"
"Tanya (Kris Aquino), a mother that has moved to a new house with her baby daughter Jane. Everything went fine, until the house fell victim to a blackout. Tanya, worried about Jane, decides to check her daughter along with her mother, Lydia (Rosemarie Gil). She finds her housekeeper Virgie (Mae-Ann Adonis), who had been driven insane, hiding in a closet with Jane. Tanya grabs Jane but Virgie warns her that someone will take her baby.
","Shake, Rattle & Roll III"
"After Tanya sent Virgie away, an old spirit who had passed in the house watched her. Tanya hires a new nanny Aida (Eva Ramos).
","Shake, Rattle & Roll III"
"Rosalyn (Janice de Belen) just got word that her Ate Rowena (Gina Alajar) died in a remote part of her province. Soon, Rosalyn discovered that Rowena was not dead but a zombie-turned corpse. When she returned to her province, a young boy Tano told her that her sister was brought back to life. It was at a mansion owned by Dr. Redoblado, a cult leader, and his wife, who worships the Devil. Rosalyn spotted her elder sister eating dirt, so she asked Tano how to end her misery. She forced her elder sister to return to her grave. Redoblado arrived, but angered at what Rosalyn did, he tried to kill her, but got killed when Rowena grabbed Redoblado by his foot and killed him and got buried along with the zombie.
","Shake, Rattle & Roll III"
"Maloy (Manilyn Reynes) a nature-loving but troubled and dolt science girl who is constantly harassed by her dormmates, led by Dezzi Rae (Ai-Ai delas Alas), is having a field trip with her classmates and teachers in a local lake for their science project. Maloy's best friend Sally (Candy Pangilinan) found strange eggs found in the lake. After Sally gave the eggs to Maloy, they hear a disturbing voice from the lake. As Sally was swimming in the lake, an unknown sea creature drowns her. After the teachers and students recover her dead body, Maloy suspects her friend's dead body covered in moss and gunk. Before they leave, the creature resurfaces out of the lake and enters in one of Maloy's coolers.
","Shake, Rattle & Roll III"
"After Maloy returns to the dormitory, the strict dormitory owner Eba (Vangie Labalan) warns her about going to the lake. Eba explains to her about a mysterious sea creature living in the lake; the Undin, a water-nymph sea creature living in the water. Whenever someone disturb them, especially their belongings and eggs, kills them. Maloy realize that Sally had stolen the eggs she found from the Undin before her death but Eba assures that her story was told by her grandmother. As Eba leaves, the Undin jumps out of the cooler. Maloy grabs the eggs and tried to call the Undin to give the eggs back to her but the Undin was hiding from her. Eba and the dorm mates appear at the kitchen and Maloy tries to convince them that the Undin was real, but they do not believe in her.
","Shake, Rattle & Roll III"
"As Dezzi Rae had a party with her dorm mates and their friends at the dormitory, Maloy began to use the dormitory's bathroom to take a shower. The Undin, who had moved already to the bathroom, kills Eba and one of the party-goers, Ojay (Joey Marquez), by spitting them with her acidic saliva after Maloy witness Ojay's body melting. She notice the Undin appeared and took the eggs to call the creature but Dezzi Rae and her friends appear. Maloy tried to convince them that the Undin was here and explain to them of Ojay's death. She show them the eggs but Dezzi Rae grabs the eggs from her and she and her friends began playing with them. Dezzi Rae forced Maloy to watch as she began destroying the eggs. Maloy manage to break free from the group and overpowers Dezzi Rae. As she and her friends leave the bathroom, Maloy finds one of the Undin's eggs remained. The Undin, enraged by the death of her children, kills Dezzi Rae and her friends. Maloy overhears the group's screams, enters the dormitory and watches the Undin kill Dezzi Rae's friends. Maloy calls the Undin and knows that she was a mother. Maloy confesses to the Undin that she & Sally never meant to steal her eggs and knows about a mother's life. Maloy began to give the egg back to the Undin and puts her back to the cooler, where Maloy encounters the creature earlier, to bring her back to the lake.
","Shake, Rattle & Roll III"
"Maloy returns to the lake to bring the Undin back home. After bidding farewell to Maloy, the Undin reunites with her mate as they swim away back to their home.
","Shake, Rattle & Roll III"
" 
","Shake, Rattle & Roll III"
" 
","Shake, Rattle & Roll III"
" 
","Shake, Rattle & Roll III"
"Joaquín Estévez (born 22 September 1984) is an Argentinian professional golfer who plays on the Challenge Tour and the Tour de las Américas.
",Joaquín Estévez
"Estévez turned pro in 2008 and picked up his first professional win in 2011, the Copa Antioquia, an event sanctioned by the Challenge Tour and the Tour de las Américas.
",Joaquín Estévez
"1Co-sanctioned by the Tour de las Américas
",Joaquín Estévez
"Challenge Tour playoff record (1–0)
",Joaquín Estévez
"1Co-sanctioned by the Challenge Tour
",Joaquín Estévez
,Joaquín Estévez
"Moza can refer to:
",Moza
"SSi Canada (formerly known as SSi Micro Ltd. [1]) is a Canadian wireless broadband internet service provider primarily serving remote areas that lack terrestrial service options. SSi was established in 1990 by Jeffrey Philipp and is headquartered in Yellowknife, capital of the Northwest Territories. SSi is also a provider of Satellite Communication services, offered in locations that do not have terrestrial service options. They offer turnkey Internet systems to other ISPs. They have a local market serving all 25 communities in Nunavut and several in the Northwest Territories. These two territories account for 1/3 of Canada's landmass covering 3,439,296 km2 (1,327,920 sq mi). They also have an international market including Africa, Indonesia and Kiribati.
",SSi Canada
"SSi Canada has used the Motorola Expedience[2] line of product to deliver licensed broadband Internet services for many years, transmitted over a licensed spectrum of 2.5-2.6 GHz in Canada. The Expedience system consist of base stations that deliver a wireless signal throughout the community, and of residential subscriber units (or RSUs) that are provided to customers, which receive the signal from the base stations.  in 2016-17, SSi upgraded their network to 4G-LTE wireless and mobile technology.
",SSi Canada
"SSi Canada (formerly known as SSi Micro) was founded in 1990 in Fort Providence. They provided businesses with a fully equipped sales, training and technical service centre along with computer sales and repairs. At this time SSi became the 13th division of a much larger group of companies operated by the Philipp family since 1965. This group of companies offered a vast range of services and employment opportunity in the community of Fort Providence, including the Snowshoe Inn, coffee shop and gift shop. For many years the company also operated the ferry that provided the only road access from southern Canada to the Northwest Territories prior to the opening of the Deh Cho Bridge.
",SSi Canada
"SSI Micro was one of the first Internet Service Providers (ISP's) in Northern Canada. They opened a branch in Yellowknife in 1995.
",SSi Canada
"As of February 2008, SSi was the largest ISP in Northern Canada providing broadband Internet services in all 25 Nunavut Communities under the Qiniq brand, and in 31 Communities throughout the Northwest Territories under the Airware brand.
",SSi Canada
"SSi often uses Connecting the North and ""People. Ideas. Technology."" as their advertising slogans.
",SSi Canada
"In March 2004, SSi launched the first commercial Canadian implementation of 2.5 GHz NLOS (non line of sight) wireless broadband Internet service in Yellowknife. 
",SSi Canada
"Industry Canada's Broadband for Rural and Northern Development (BRAND) program became the catalyst for the creation of Nunavut Broadband Development Corporation (NBDC), a not for profit group tasked with identifying the Nunavut's broadband needs. At this time, outside of government worker connections in the 11 largest communities, Internet was not readily available to Nunavut residents.
",SSi Canada
"NBDC issued a comprehensive request for proposal (RFP) to vendors and put the financing together for building a network to serve the needs of the people of Nunavut. SSi won this RFP in the spring of 2004. As a result of winning this RFP, SSi designed and deployed the Qiniq network
",SSi Canada
"In 2005, SSi officially launched the Qiniq network. This network provides broadband services to all 25 communities in Nunavut. Inuit comprise 85% of the population of Nunavut and are avid users of broadband services. Broadband is used to improve the educational, economic, social and cultural opportunities in the territory. Many e-commerce and informational web sites are now readily available online from businesses based in Nunavut.
",SSi Canada
"The Qiniq network is managed centrally by SSi out of their head office in Yellowknife. SSi maintains the satellite infrastructure, the wireless networks, all back-end hardware as well as the billing and management.
",SSi Canada
"SSi does not sell to end users directly. Qiniq services are offered in each Nunavut community by a local resident, which are referred to as community service providers, or ""CSP"". In each community there is a local resident who is trained and contracted to provide services in their respective community. The CSPs sign up users, take payments and provide technical support to their clients. CSPs deal with SSi in Yellowknife directly for their training and support. CSPs provide Qiniq clients the ability to deal with someone local, typically a long-time Northern resident who understands the culture and language of their community.
",SSi Canada
"SSi offers services in the following communities in Nunavut, under the brand name Qiniq:
",SSi Canada
"In 2006, SSi Launched the AirWare network. This network was similar in design to the Qiniq network and provided broadband services to 30 communities in the Northwest Territories. The AirWare network also had a local representative in each of the communities that processed payments and provided technical support to their local clients. As with the Qiniq network, the CSPs provided AirWare clients the ability to deal with someone local, typically a long-time northern resident who understands the culture and language of their community. However, federal funding for the Airware project ceased in 2010, and over the next few years SSI had no choice but to gradually wind down service in those communities.
",SSi Canada
"SSi offered services in the following communities in the Northwest Territories, under the brand name AirWare:
",SSi Canada
"In 2010 SSi was selected by the Government of Nunavut to provide, maintain and operate its Wide Area Network (WAN), ensuring Internet and Intranet connectivity for all government departments.
",SSi Canada
"In 2012, SSi established its own state-of-the-art ground station satellite teleport in Ottawa. Having previously leased southern teleport facilities, SSi now had its own location connecting the north to the world's Internet backbone.
",SSi Canada
